Для чего нужен Обход в глубину?:,"Определить, связанный ли граф, построить слоистую сеть, тополог. Сортировка и т.д.", Нахождение сильно связных комонентов, Построить слоистую сеть, Поиск минимального остова
Какой алгоритм используется для нахождения кратчайшего пути от источника до стока транспортной сети?:, "Алгоритм Дейкстры", Алгоритм Куна, Алгоритм Диница, Алгоритм A*
Какие входные данные в алгоритме Брона-Кербоша?:,"Неориентированный граф в виде списка смежности", Ориентированный граф в виде списка смежности, Список смежности, Орграф в виде списка смежности
Какие входные данные в алгоритме Флойда-Уоршалла?:, "Произвольный граф в виде матрицы смежности без циклов отрицательной длины", Двудольный граф в форме матрицы специального вида (строки - одна доля а столбцы - другая), Произвольный граф в виде списка смежности (визуально - сетка с препятствиями), Неориентированный взвешенный граф в виде кучи (heap) ребер
Какие выходные данные в алгоритме Демукрона?:, "Вершины в топологически корректном порядке", Список вершин лежащих на кратчайшем пути и длина кратчайшего пути, Список ребер вошедших в паросочетание и их суммарный вес, Список вершин отсортированный особым образом
Какие выходные данные в алгоритме Форда-Фалкерсона?:, "Максимальный поток (пропускная способность сети)", "Максимальный поток (пропускная способность сети)", Номера вершин в порядке обхода, Перечень вершин входящих в кратчайший путь и его длина
В каком алгоритме используется очередь?:, "Обход в ширину", Обход в глубину, Алгоритм Демукрона, Алгоритм Беллмана-Форда
Какой алгоритм перед поиском аугментальной цепи граф преобразовывается в 'слоистую сеть' с помощью поиска в ширину?:, "Алгоритм Диница", Алгоритм A*, Алгоритм Флойда-Уоршалла, Алгоритм Дейкстры
Какие утверждения являются верными?:, "топологическая сортировка может быть выполнена только для ациклического ориентированного графа", топологическая сортировка может быть выполнена для любого ориентированного графа, топологическая сортировка может быть выполнена для любого неориентированного графа, топологическая сортировка может быть выполнена только для циклического ориентированного графа
Какие входные данные в алгоритме Крускала?:, "Неориентированный взвешенный граф в виде кучи (heap) ребер", Неориентированный граф в виде списка смежности, Ориентированный взвешенный граф в виде кучи (heap) ребер, Орграф в виде списка смежности
За какое время работатет алгоритм Косарайю?:, "За O (n+m)", За O^2, За O(n), За O(n*m)
Можно ли оптимизировать алгоритм Куна и как?:, "Да. Брать не пустое паросочетание, а, например, набирать его жадно", Да, Нет, Нет. Брать пустое паросочетание
Верны ли утверждения? 1- алгоритм Беллмана-Форда допускает рёбра с отрицательным весом; 2- Алгоритм Беллмана-Форда находит в ориентированном графе кратчайшие пути от исходной вершины до всех остальных:, "да и да", нет и да, нет и нет , да и нет
Верно ли утверждение что алгоритм A* - это модификация алгоритма Дейкстры оптимизированная для единственной конечной точки?:, "да", нет, ., .
Сколько имеется абстрактных обыкновенных графов с набором степеней (3 3 3 3 4 4)?:, "3", 0, 1, 2
Является ли верным утверждение что связный граф может иметь только один остов?:, "нет", да, ., .
Какие из следующих утверждений справедливы для любого двусвязного графа? 1-через любые две вершины проходит простой цикл; 2-через любые два ребра проходит простой цикл; 3-через любые три вершины проходит простой цикл; 4-через любые три вершины среди которых имеется хотя бы одна пара смежных проходит простой цикл:, "1 2 4", 1 2, 2 4, 2 3
В двудольном графе одна доля состоит из пяти вершин степени 2 а другая из трех вершин две из которых имеют степень 3. Какова степень третьей вершины?:, "4", 3, 5, такого графа не существует
Дерево-это:, "связный граф без циклов", связный граф, граф без циклов, остовный подграф графа
Для чего нужен обход в ширину?:, "Поиск мостов, шарниров", Поиск минимального остова, Нахождение сильно связных компонент, определить связный ли граф и построить слоистую сеть тополог сортировка и т.д.
